lecturer_id,first_name,last_name,email,user_type
991994,Leo,Alvarez,alvarez.leo@example.edu,2
926269,Lucas,Harrington,harrington.lucas@example.edu,2
911123,Adeline,Hollingsworth,hollingsworth.adeline@example.edu,2
901392,Florence,Stanton,stanton.florence@example.edu,2
940375,Lily,Warrington,warrington.lily@example.edu,2
907587,Freya,Escobar,escobar.freya@example.edu,2
942723,Isla,Llewellyn,llewellyn.isla@example.edu,2
966720,Theodore,Remington,remington.theodore@example.edu,2
951828,Aurora,Fitzpatrick,fitzpatrick.aurora@example.edu,2
944062,Lily,Lowry,lowry.lily@example.edu,2
938722,Henry,Gallagher,gallagher.henry@example.edu,2
997929,Jasper,Lovelace,lovelace.jasper@example.edu,2
987433,Oliver,Lowry,lowry.oliver@example.edu,2
999275,Harper,Remington,remington.harper@example.edu,2
942766,Henry,Lovelace,lovelace.henry@example.edu,2
970847,Gabriel,Ashford,ashford.gabriel@example.edu,2
986180,Xavier,Delgado,delgado.xavier@example.edu,2
997837,Everett,Kensington,kensington.everett@example.edu,2
987494,Miles,St. Clair,st. clair.miles@example.edu,2
953227,Clara,Ellington,ellington.clara@example.edu,2
955909,Samuel,Stetson,stetson.samuel@example.edu,2
963520,Xavier,Stetson,stetson.xavier@example.edu,2
968092,Matteo,Maddox,maddox.matteo@example.edu,2
940269,Miles,Beaumont,beaumont.miles@example.edu,2
944814,Elijah,Warrington,warrington.elijah@example.edu,2
946828,Florence,Ashby,ashby.florence@example.edu,2
957462,Oliver,Sandoval,sandoval.oliver@example.edu,2
945895,Daphne,Huffman,huffman.daphne@example.edu,2
942912,Xavier,Hendricks,hendricks.xavier@example.edu,2
930152,Wesley,Calhoun,calhoun.wesley@example.edu,2
962057,Leo,Monroe,monroe.leo@example.edu,2
960852,Samuel,Covington,covington.samuel@example.edu,2
989425,Sadie,Donovan,donovan.sadie@example.edu,2
976526,Freya,Galloway,galloway.freya@example.edu,2
916139,Theodore,Escobar,escobar.theodore@example.edu,2
967645,Caleb,Covington,covington.caleb@example.edu,2
949211,Adeline,Prescott,prescott.adeline@example.edu,2
976749,Aurora,Chen,chen.aurora@example.edu,2
949102,Daphne,Maddox,maddox.daphne@example.edu,2
973143,Felix,Delgado,delgado.felix@example.edu,2
915126,Elsie,Hwang,hwang.elsie@example.edu,2
946893,Samuel,Hwang,hwang.samuel@example.edu,2
961882,Adelaide,Montoya,montoya.adelaide@example.edu,2
906462,Gabriel,Kensington,kensington.gabriel@example.edu,2
941214,Aurora,Harrington,harrington.aurora@example.edu,2
935566,Freya,Escobar,escobar.freya@example.edu,2
972823,Caleb,Huntington,huntington.caleb@example.edu,2
909494,Isla,Sutherland,sutherland.isla@example.edu,2
979763,Oliver,Ashford,ashford.oliver@example.edu,2
973881,Lucas,Cabrera,cabrera.lucas@example.edu,2
933866,Harper,Covington,covington.harper@example.edu,2
919530,Jasper,Lovelace,lovelace.jasper@example.edu,2
949543,Elijah,Fitzpatrick,fitzpatrick.elijah@example.edu,2
921811,Adelaide,Escobar,escobar.adelaide@example.edu,2
969471,Henry,Stanton,stanton.henry@example.edu,2
940732,Genevieve,Montoya,montoya.genevieve@example.edu,2
961647,Gabriel,Huntington,huntington.gabriel@example.edu,2
909608,Isla,Callahan,callahan.isla@example.edu,2
914354,Samuel,Huffman,huffman.samuel@example.edu,2
912974,Theodore,Choi,choi.theodore@example.edu,2
931728,Maeve,Rockwell,rockwell.maeve@example.edu,2
929962,Matteo,Sutherland,sutherland.matteo@example.edu,2
955548,Isaac,Remington,remington.isaac@example.edu,2
956050,Elsie,Kensington,kensington.elsie@example.edu,2
935052,Imogen,Park,park.imogen@example.edu,2
945452,Felix,Sutherland,sutherland.felix@example.edu,2
975129,Hazel,Ellington,ellington.hazel@example.edu,2
944696,Oliver,Kensington,kensington.oliver@example.edu,2
930795,Felix,Ashby,ashby.felix@example.edu,2
933310,Hazel,Baxter,baxter.hazel@example.edu,2
940373,Maeve,Sutherland,sutherland.maeve@example.edu,2
971426,Aurora,Covington,covington.aurora@example.edu,2
908357,Maeve,Hwang,hwang.maeve@example.edu,2
976031,Gabriel,Hwang,hwang.gabriel@example.edu,2
991337,Gabriel,Hollingsworth,hollingsworth.gabriel@example.edu,2
950127,Miles,Sandoval,sandoval.miles@example.edu,2
977841,Miles,Galloway,galloway.miles@example.edu,2
981891,Matteo,Beaumont,beaumont.matteo@example.edu,2
968530,Leo,Hackett,hackett.leo@example.edu,2
978329,Sadie,Lockwood,lockwood.sadie@example.edu,2
912676,Adelaide,Ashby,ashby.adelaide@example.edu,2
927402,Lily,O'Rourke,o'rourke.lily@example.edu,2
986715,Leo,Lockwood,lockwood.leo@example.edu,2
975659,Samuel,Kensington,kensington.samuel@example.edu,2
928115,Harper,Ashford,ashford.harper@example.edu,2
901294,Oliver,Lovelace,lovelace.oliver@example.edu,2
949113,Penelope,Stetson,stetson.penelope@example.edu,2
965296,Hazel,Sandoval,sandoval.hazel@example.edu,2
973607,Isla,Sandoval,sandoval.isla@example.edu,2
987424,Daphne,Hwang,hwang.daphne@example.edu,2
906038,Caleb,Blakely,blakely.caleb@example.edu,2
907662,Henry,Windham,windham.henry@example.edu,2
942902,Wesley,Beaumont,beaumont.wesley@example.edu,2
950324,Elijah,Huffman,huffman.elijah@example.edu,2
903711,Matteo,Gallagher,gallagher.matteo@example.edu,2
957696,Samuel,Chen,chen.samuel@example.edu,2
928557,Penelope,Sutherland,sutherland.penelope@example.edu,2
964872,Matteo,Kensington,kensington.matteo@example.edu,2
972139,Gabriel,Ellington,ellington.gabriel@example.edu,2
925556,Maeve,Donovan,donovan.maeve@example.edu,2
987377,Silas,Ashford,ashford.silas@example.edu,2
961726,Maeve,Escobar,escobar.maeve@example.edu,2
904310,Xavier,Sandoval,sandoval.xavier@example.edu,2
957219,Adelaide,Donovan,donovan.adelaide@example.edu,2
947569,Leo,Callahan,callahan.leo@example.edu,2
919865,Oliver,Kensington,kensington.oliver@example.edu,2
919017,Isla,Kensington,kensington.isla@example.edu,2
982149,Samuel,Windham,windham.samuel@example.edu,2
976914,Samuel,McPherson,mcpherson.samuel@example.edu,2
954280,Luna,Santiago,santiago.luna@example.edu,2
966005,Luna,Chen,chen.luna@example.edu,2
935343,Imogen,Huntington,huntington.imogen@example.edu,2
